doi,year,title,venue,research_question,method,sensor,agent,host,support,validation_design,class_balance_reported,accuracy_metric,accuracy_value,notes
10.1109/mgrs.2025.3602160,2026,Monitoring Forest Damage Caused by Pine Wilt Disease with Remote Sensing Technologies: A review,IEEE Geoscience and Remote Sensing Magazine,RQ2,narrative review of remote sensing methods,"UAS, satellite, ground spectroscopy (review)",pine wilt disease (Bursaphelenchus xylophilus),pine,not stated,"not applicable, review",no,not stated,not stated,"Review. Single agent, no between-agent attribution."
10.1111/gcb.70709,2026,Taller Trees Experienced Less Crown Damage During a Severe Hurricane in a Tropical Forest,Global Change Biology,RQ3,"crown delineation (manual and AMS3D) on repeat ALS, damage quantified per crown","airborne lidar, field inventory",hurricane (Hurricane Maria),"tropical broadleaf, Luquillo",individual crown and stand,not stated,no,crown area damage difference,tall trees >=25 m suffered ~30% less crown area damage than ~15 m trees,"Lidar structure grades damage severity, does not attribute agent."
10.5194/nhess-26-2785-2026,2026,Hybrid forest disturbance classification using Sentinel-1 and inventory data: a case-study for Southeastern USA,Natural Hazards and Earth System Sciences,RQ2;RQ3,SAR backscatter change detection combined with survey labels to refine disturbance class labels,"Sentinel-1 SAR, USFS Insect and Disease Survey","bark beetle, defoliator, fire, storm, drought","southeastern USA forest, not stated by species",patch,comparison against manual labels from high-resolution imagery,no,not stated in abstract,not stated in abstract,"Closest RQ3 candidate in this batch. Separates bark beetle from defoliator timing relative to survey, but classes are agent groups differing in host and timing, not two insects on one host."
10.1007/s10661-026-15666-7,2026,Multi-sensor geospatial modelling to address complex mangrove dieback: misattribution of chemical stressors versus physical impact,Environmental Monitoring & Assessment,RQ2,forensic geospatial reconstruction testing two competing causal hypotheses,"Sentinel-2, lidar geomorphic model, ERA5 reanalysis",hailstorm versus chemical contamination,mangrove,landscape,not stated,no,not stated,not stated,Attribution between an abiotic and a chemical cause. No insect agents.
10.5194/isprs-annals-xi-3-2026-805-2026,2026,Evaluating the Potential of annual Sentinel-1 Composites for Bark Beetle Infestation Detection,"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences",RQ2;RQ3,random forest classification of healthy versus infested,"Sentinel-1 SAR annual composites, Sentinel-2",Ips typographus,"Norway spruce, not stated explicitly",not stated,"reference dataset, design not stated",no,overall accuracy,"0.78 Sentinel-1, 0.87 Sentinel-2","SAR used for detection of one agent, not for attribution between agents."
10.1038/s41467-026-75418-6,2026,Previous prescribed burns saved thousands of ancient sequoias during historically unprecedented wildfires.,Nature Communications,RQ3,"deep learning mortality classifier, Bayesian mortality model","3 m PlanetScope, airborne lidar, field observations",wildfire,Sequoiadendron giganteum,individual tree,"field observations, design not stated",no,mortality estimate with credible interval,30.2% mortality (CI 28.6-31.9%),"Lidar contributes to mortality mapping, not to agent attribution."
10.3390/f17030328,2026,Identification of Cypress Bark Beetle-Infested Cypress Based on LiDAR and RGB Imagery,Forests,RQ3,individual tree segmentation from lidar then vegetation index thresholding on UAV RGB,"airborne lidar, UAV RGB",cypress bark beetle (Phloeosinus aubei),Cupressus funebris,individual tree and stand,visual interpretation,no,"segmentation precision, recall, F1; detection precision, recall, F1",segmentation P 82.51 R 80.00 F1 81.24; RGI detection P 100.00 R 86.96 F1 93.02,Lidar used only for segmentation; the infestation signal is spectral. Single agent.
10.1007/s11676-025-01979-9,2026,Methods for identifying topkill in conifers using airborne lidar to monitor structural diversity and disturbance,Journal of Forest Research,RQ3,"individual tree segmentation of lidar point cloud, random forest classifier on lidar metrics","airborne lidar, field observations","fire injury, native bark beetles including Dendroctonus brevicomis, comandra blister rust",Pinus ponderosa,individual tree,"647 field-observed trees paired with lidar objects, design not stated",no,classification accuracy,"87% across live, live-with-topkill and dead classes","Structure-only classifier, but the classes are tree condition states, not agents. Agents are named as causes and are not separated by the model."
10.26565/1992-4224-2026-45-13,2026,Assessment of military impacts on protected areas of Ukraine using Sentinel-1 and machine learning,Man and Environment Issues of Neoecology,RQ2;RQ3,baseline-relative change analysis and unsupervised classification of radar vegetation index,Sentinel-1 SAR,military activity,"eastern Ukraine forest, species not stated","pixel, resolution not stated",conflict-free control site comparison,no,not stated,not stated,"Radar separates a disturbance type from background variability using a control site, not a multi-agent classifier."
10.3390/rs18121982,2026,"High-Resolution Mapping, Attribution, and Carbon Loss Assessment of Forest Disturbances in China’s Critical Regions Using Multi-Source Remote Sensing",Remote Sensing,RQ2;RQ3,"Bayesian model averaging over LandTrendr, CCDC and 1D-CNN, then automated driver attribution","Sentinel-1, Sentinel-2, Landsat 8/9, GEDI L4B lidar, FIRMS","wildfire, anthropogenic activity, natural degradation","Northeast China and Hengduan Mountains forest, species not stated",10 m pixel,not stated,no,"overall accuracy, F1","91.15% Northeast, 89.62% Hengduan, F1 0.92 both","Attribution among fire, anthropogenic and natural degradation. Natural degradation is a single undivided class, so no insect-insect separation."
10.3389/frsen.2024.1459524,2025,Monitoring changes of forest height in California,Frontiers in Remote Sensing,RQ3,"deep neural network predicting canopy height from radar and optical imagery, trained on GEDI RH98","GEDI lidar, radar and optical satellite imagery","wildfire, drought, insect infestation, human activity","California forest, species not stated",10 m pixel,not stated in abstract,no,not stated in abstract,not stated in abstract,Structure change is mapped across disturbance types but the agents are not separated.
10.1016/j.jag.2025.104851,2025,Dual-Task Learning for Dead Tree Detection and Segmentation with Hybrid Self-Attention U-Nets in Aerial Imagery,International Journal of Applied Earth Observation and Geoinformation,RQ2,dual-task self-attention U-Net with watershed postprocessing for dead tree detection,high-resolution aerial imagery,not stated,"boreal forest, species not stated",individual tree instance,not stated,no,relative improvement in instance segmentation accuracy,"41.5% improvement, 57% reduction in positional error",Mortality detection with no agent label.
10.3390/f16020194,2025,Remote Sensing Technology for Observing Tree Mortality and Its Influences on Carbon–Water Dynamics,Forests,RQ2,systematic literature and bibliometric review,satellite and UAV platforms (review),"multiple, unspecified",multiple,not applicable,"not applicable, review",no,not applicable,not applicable,"Review of remote sensing for tree mortality, 1998 to mid-2024."
10.1016/j.scitotenv.2025.180435,2025,Post-fire regeneration dynamics of heterogeneous Mediterranean ecosystems using Landsat and ALS data.,Science of the Total Environment,RQ3,"random forest relating ALS structure to Landsat indices, BART for drivers","Landsat, low-density airborne laser scanning",wildfire,"Quercus ilex, Pinus halepensis, shrubland",not stated,not stated in abstract,no,not stated in abstract,not stated in abstract,"Structure used for recovery assessment, single disturbance type."
10.3390/f16081272,2025,Kennaugh Elements Allow Early Detection of Bark Beetle Infestation in Temperate Forests Using Sentinel-1 Data,Forests,RQ3,"Multi-SAR time series with Kennaugh element decomposition, random forest",Sentinel-1 SAR,bark beetle,"Bavarian Forest National Park, spruce implied, not stated",not stated,not stated in abstract,no,not stated in abstract,not stated in abstract,Radar for early detection of one insect agent. No between-agent discrimination.
10.1080/01431161.2025.2598147,2025,Deep learning interpretability for understanding forest disturbance driver classification from Sentinel-1 and -2 data,International Journal of Remote Sensing,RQ2;RQ3,"deep learning fusion models for disturbance driver classification, six XAI methods applied","Sentinel-1 SAR, Sentinel-2","tropical forest disturbance drivers, classes not enumerated in abstract","tropical forest, species not stated",not stated,not stated in abstract,no,not stated in abstract,not stated in abstract,"Driver attribution with radar contributing. Drivers are land-use classes, not two insects."
10.3390/rs17101777,2025,"Mapping Windthrow Risk in Pinus radiata Plantations Using Multi-Temporal LiDAR and Machine Learning: A Case Study of Cyclone Gabrielle, New Zealand",Remote Sensing,RQ3,"random forest on repeat lidar, optical and climate surfaces, 9713 plots","repeat regional airborne lidar, optical imagery",cyclone windthrow (Cyclone Gabrielle),Pinus radiata plantation,plot,50 iterations of 80/20 train and test splits,no,"accuracy, F1, AUC","accuracy 0.835, F1 0.841, AUC 0.913","Lidar structure for windthrow, a single abiotic agent."
10.1186/s13595-025-01293-8,2025,Forest attribute maps: a support for small area estimation of forest disturbances,Annals of Forest Science,RQ2,small area estimation using forest attribute maps from NFI and remote sensing,not stated in abstract,bark beetle,"Picea abies, Abies alba",small area,not stated in abstract,no,not stated in abstract,not stated in abstract,"Impact quantification, not agent attribution."
10.3390/f16081207,2025,"Mangrove Damage and Early-Stage Canopy Recovery Following Hurricane Roslyn in Marismas Nacionales, Mexico",Forests,RQ3,time series of Combined Mangrove Recognition Index and canopy height model change,"satellite imagery, canopy height model",hurricane (Roslyn),mangrove,not stated,not stated in abstract,no,not stated in abstract,not stated in abstract,"Structure for damage and recovery, single agent."
10.1111/gcb.70246,2025,Functional Traits From Imaging Spectroscopy Inform Patterns of Forest Mortality During Sierra Nevada Drought,Global Change Biology,RQ2,"trait-mortality relationships from imaging spectroscopy with climate, topography, canopy structure","AVIRIS-Classic imaging spectrometer, canopy structure data","drought and insect outbreak, not separated","Sierra Nevada conifers, multiple species",not stated,two independently derived mortality datasets compared,no,not stated in abstract,not stated in abstract,Drought and insect drivers are treated jointly rather than separated.
10.1080/07038992.2025.2505418,2025,Estimation of Forest Structure and Fuel Change Across Mountain Pine Beetle – Attacked Forests Using Mobile and RPAS – Based LiDAR,Canadian journal of remote sensing,RQ3,lidar metrics from point clouds used to model fuel components after attack,"RPAS lidar, mobile laser scanning",mountain pine beetle (Dendroctonus ponderosae),"pine, western Canada",stand,not stated in abstract,no,not stated in abstract,not stated in abstract,"Structure quantifies consequences of one insect agent, not agent identity."
